lng,lat
-81.2,29.1
-118.06,33.93
-77.7,39.9
-96.89,32.95
-93.6,43.1
-111.86,40.76
-80.09,26.66
-87.7,44.1
-84.65,33.76
-96.94,32.69
-86.4,39.68
-76.21,36.86
-122.33,47.6
-74.17,40.67
-80.21,25.94
-74.17,40.67
-106.4,31.81
-119.82,36.76
-84.42,39.34
-82.13,41.25
-80.32,35.24
-84.7,33.42
-74.15,40.72
-73.37,40.75
-74.28,40.61
-97.16,31.56
-85.5,43.4
-80.17,26.19
-97.07,32.94
-95.57,29.87
-104.95,39.79
-84.42,39.34
-81.5,30.5
-122.3,37.81
-122.5,45.55
-84.87,32.48
-74.3,40.73
-122.3,37.81
-122.3,37.81
-122.3,37.81
-81.92,41.44
-92.8,39.5
-74.41,40.57
-93.69,32.58
-98.4,26.2
-95.2,29.3
-79.95,35.91
-99.6,27.8
-79.96,37.35
-104.95,39.79
-88.5,44.2
-118.24,33.87
-90.1,35.2
-119.0,35.1
-74.15,40.72
-95.91,36.19
-86.96,33.4
-80.31,25.82
-80.4,25.9
-119.82,36.76
-74.46,40.55
-82.96,39.88
-95.21,32.42
-80.4,25.9
-87.87,42.95
-92.2,32.4
-78.2,39.3
-88.01,43.02
-96.8,32.78
-106.4,31.81
-74.28,40.61
-74.17,40.67
-86.1,35.5
-80.31,25.82
-81.51,28.73
-94.0,46.6
-86.1,35.5
-81.6,36.8
-118.24,33.87
-82.96,39.88
-80.09,26.66
-80.09,26.66
-87.77,41.78
-81.5,31.3
-84.19,33.45
-86.5,36.0
-88.02,41.93
-74.37,40.82
-106.31,31.78
-94.41,35.31
-82.1,38.4
-98.4,29.49
-80.4,25.9
-93.2,30.0
-80.09,26.66
-104.95,39.79
-123.08,44.53
-123.08,44.53
-82.6,30.4
-80.09,26.66
-87.89,41.93
-104.9,41.1
-80.09,26.66
-87.95,41.96
-82.5,27.6
-91.2,29.8
-88.6,37.0
-118.26,33.78
-76.53,39.28
-91.1,40.8
-119.9,46.4
-80.36,25.79
-80.36,25.79
-80.3,25.78
-84.64,33.83
-85.9,40.1
-92.6,32.1
-106.4,31.81
-75.6,39.6
-74.94,40.1
-74.28,40.61
-73.92,41.29
-74.28,40.61
-96.98,32.96
-80.09,26.66
-80.09,26.66
-80.09,26.66
-91.4,44.9
-74.12,40.75
-82.64,27.87
-83.0,43.8
-71.8,41.36
-87.81,42.75
-82.6,39.7
-74.17,40.67
-80.32,25.8
-80.09,26.66
-122.8,45.5
-95.26,29.85
-75.9,41.1
-90.7,42.1
-80.3,25.78
-97.0,37.3
-90.38,41.52
-90.7,42.1
-84.18,33.91
-79.96,37.35
-119.5,39.5
-122.0,37.6
-95.54,29.93
-118.06,33.93
-89.4,40.1
-85.9,37.7
-115.22,36.08
-80.31,25.82
-118.08,33.99
-80.3,40.9
-73.0,43.4
-84.65,33.76
-95.37,29.66
-81.73,30.35
-74.85,40.12
-74.12,40.75
-80.3,25.78
-74.94,40.1
-80.4,25.9
-80.4,25.9
-75.95,40.95
-80.09,26.66
-75.35,40.59
-94.41,35.31
-81.73,30.35
-95.51,29.61
-80.36,25.79
-85.2,41.2
-82.12,34.91
-80.68,40.39
-117.04,32.6
-81.73,30.35
-80.4,25.9
-75.35,40.59
-95.37,29.66
-74.17,40.67
-88.04,43.09
-80.68,40.39
-106.4,31.81
-119.82,36.76
-84.3,41.5
-91.3,39.9
-80.4,25.9
-74.28,40.61
-80.32,25.8
-95.83,36.2
-89.85,35.01
-80.4,25.9
-81.18,32.12
-87.7,44.1
-79.2,35.5
-92.3,34.6
-80.4,25.9
-95.46,29.58
-82.87,39.97
-83.62,42.5
-80.31,25.82
-118.29,33.87
-96.84,32.93
-81.6,28.5
-88.01,43.02
-81.39,28.47
-80.32,25.8
-74.53,40.32
-81.6,28.5
-79.97,36.71
-87.95,41.96
-71.1,44.3
-96.99,32.78
-81.6,28.5
-74.41,40.57
-88.1,40.5
-122.5,45.55
-85.2,31.9
-85.2,31.9
-85.2,31.9
-85.2,31.9
-80.59,37.34
-86.3,36.1
-81.6,28.5
-85.2,31.9
-81.6,28.5
-81.6,28.5
-81.35,41.24
-71.1,44.3
-76.0,41.0
-118.22,33.82
-85.2,31.9
-80.4,25.9
-81.5,36.0
-98.2,26.2
-81.6,28.5
-71.1,44.3
-80.68,40.39
-85.2,31.9
-71.1,44.3
-74.94,40.1
-106.4,31.81
-80.4,25.9
-88.02,41.93
-80.37,25.85
-73.92,41.29
-118.6,34.3
-71.1,44.3
-123.08,44.53
-123.08,44.53
-74.28,40.61
-81.6,28.5
-81.6,28.5
-81.6,28.5
-81.6,28.5
-81.6,28.5
-81.6,28.5
-81.6,28.5
-80.09,26.66
-85.2,31.9
-103.5,38.0
-85.2,31.9
-96.05,36.11
-86.4,39.68
-85.2,31.9
-81.6,28.5
-80.19,25.78
-80.19,25.78
-81.6,28.5
-80.31,25.82
-88.01,43.02
-118.06,33.93
-81.18,32.12
-82.2,28.7
-84.38,33.74
-80.09,26.66
-81.18,32.12
-71.1,44.3
-80.36,25.79
-81.6,28.5
-81.18,32.12
-81.18,32.12
-81.18,32.12
-80.19,25.78
-81.6,28.5
-81.18,32.12
-80.37,25.85
-71.1,44.3
-95.32,29.77
-81.6,28.5
-81.18,32.12
-81.18,32.12
-81.18,32.12
-86.7,41.6
-81.18,32.12
-74.41,40.57
-81.18,32.12
-80.3,25.78
-81.6,28.5
-81.18,32.12
-81.6,28.5
-81.6,28.5
-81.18,32.12
-81.6,28.5
-71.1,44.3
-81.6,28.5
-81.6,28.5
-81.18,32.12
-122.3,37.81
-81.18,32.12
-81.6,28.5
-118.24,33.87
-81.4,28.2
-80.37,25.85
-81.6,28.5
-81.6,28.5
-81.4,28.2
-81.6,28.5
-84.38,33.74
-117.98,34.0
-82.6,41.2
-81.6,28.5
-81.6,28.5
-95.42,29.8
-76.53,39.28
-81.74,41.31
-81.6,28.5
-95.7,36.2
-81.6,28.5
-81.6,28.5
-118.26,33.83
-84.38,33.74
-81.6,28.5
-80.09,26.66
-72.81,41.46
-90.38,41.52
-104.95,39.79
-97.2,33.2
-97.65,35.45
-80.09,26.66
-81.6,28.5
-81.6,28.5
-81.6,28.5
-80.4,25.9
-81.6,28.5
-119.82,36.76
-74.28,40.61
-79.7,41.6
-74.17,40.67
-97.65,35.45
-99.6,27.8
-106.4,31.81
-106.38,31.75
-81.6,28.5
-97.07,32.94
-81.6,28.5
-81.6,28.5
-80.09,26.66
-80.09,26.66
-87.3,39.7
-84.4,33.76
-75.59,40.58
-96.94,32.69
-112.4,33.3
-71.1,44.3
-92.71,32.52
-81.6,28.5
-74.3,40.73
-97.67,30.15
-71.1,44.3
-81.4,28.2
-81.6,28.5
-81.4,28.2
-81.6,28.5
-81.4,28.2
-95.42,29.8
-81.4,28.2
-81.4,28.2
-80.09,26.66
-81.35,41.24
-71.1,44.3
-71.1,44.3
-81.4,28.2
-81.6,28.5
-76.0,43.3
-71.1,44.3
-84.36,33.61
-81.4,28.2
-118.27,33.74
-118.24,33.87
-71.1,44.3
-118.2,33.88
-81.32,28.4
-78.2,38.1
-84.4,39.27
-99.6,27.8
-88.01,43.02
-77.47,38.99
-94.52,39.13
-77.47,38.99
-95.29,30.01
-94.52,39.13
-94.52,39.13
-94.52,39.13
-97.42,35.4
-90.38,41.52
-81.6,28.5
-81.6,28.5
-80.12,26.09
-81.4,28.2
-86.45,42.06
-95.57,29.87
-80.31,25.82
-81.43,28.31
-83.89,35.8
-71.1,44.3
-71.1,44.3
